score,new_user
0,0.004855241863
1,0.004945153749
2,0.005065036264
3,0.005244860037
4,0.005484625067
5,0.005694419469
6,0.00590421387
7,0.005934184499
8,0.006143978901
9,0.006473655817
10,0.006563567704
11,0.006683450219
12,0.006773362105
13,0.006833303363
14,0.00689324462
15,0.006923215249
16,0.007073068393
17,0.007133009651
18,0.007162980279
19,0.007222921537
20,0.007342804052
21,0.007492657196
22,0.007612539711
23,0.007702451597
24,0.007762392855
25,0.007792363484
26,0.007852304741
28,0.007942216628
29,0.007972187256
30,0.008002157885
31,0.008062099143
32,0.0081220404
33,0.008152011029
34,0.008181981658
35,0.008211952287
36,0.008331834802
37,0.008361805431
38,0.008451717317
39,0.008511658575
40,0.008661511719
41,0.008751423605
42,0.008841335491
43,0.008901276749
44,0.008961218006
45,0.009021159264
46,0.009051129893
47,0.009081100521
48,0.009141041779
49,0.009260924294
50,0.009290894923
51,0.009380806809
52,0.009440748067
53,0.009560630582
54,0.009770424984
55,0.009800395612
56,0.00986033687
57,0.01013007253
58,0.01027992567
59,0.01048972007
60,0.01063957322
61,0.01081939699
62,0.01102919139
63,0.01117904454
64,0.01135886831
65,0.01150872145
66,0.01180842774
67,0.01216807529
68,0.01252772283
69,0.0127075466
70,0.01297728226
71,0.01333692981
72,0.01360666547
73,0.01381645987
74,0.01423604867
75,0.01462566685
76,0.01477551999
77,0.01492537313
78,0.01516513816
79,0.01537493257
80,0.01549481508
81,0.0156146976
82,0.01594437451
83,0.01612419829
84,0.01639393394
85,0.01693340526
86,0.01744290595
87,0.01792243601
88,0.01834202482
89,0.01885152551
90,0.01924114368
91,0.01972067374
92,0.02002038003
93,0.02032008632
94,0.02055985135
95,0.02079961638
96,0.02124917581
97,0.02172870587
98,0.0219684709
99,0.02223820656
100,0.02256788347
101,0.02286758976
102,0.02316729605
103,0.02349697297
104,0.02391656177
105,0.02448600372
106,0.02496553378
107,0.02535515195
108,0.02586465264
109,0.0263441827
110,0.02688365402
111,0.02730324282
112,0.02772283163
113,0.02808247917
114,0.02850206797
115,0.02895162741
116,0.02949109872
117,0.0298807169
118,0.03003057004
119,0.03048012947
120,0.03089971828
121,0.03143918959
