score,total_user
0,0.0009262709751
1,0.000936994807
2,0.0009584424707
3,0.0009959758821
4,0.001042892646
5,0.001087128453
6,0.001115278511
7,0.001140747612
8,0.001170238149
9,0.001238602577
10,0.00126139072
11,0.001278816947
12,0.001296243174
13,0.001319031316
14,0.001336457543
15,0.001356564728
16,0.001372650475
17,0.001399460055
18,0.001408843408
19,0.001426269635
20,0.001451738735
21,0.001465143525
22,0.001481229273
23,0.001501336458
24,0.0015241246
25,0.001533507953
26,0.001552274659
27,0.001560317533
28,0.001573722322
29,0.001588467591
30,0.001593829507
31,0.001604553339
32,0.001620639087
33,0.00163002244
34,0.001644767708
35,0.001662193935
36,0.001676939204
37,0.001689003515
38,0.001703748784
39,0.001719834531
40,0.001739941716
41,0.001760048901
42,0.00177345369
43,0.001798922791
44,0.001815008539
45,0.001833775245
46,0.001851201471
47,0.001868627698
48,0.001890075362
49,0.00191822542
50,0.001936992126
51,0.001961120748
52,0.001991951764
53,0.002014739907
54,0.002065678108
55,0.002097849604
56,0.002124659183
57,0.002174256905
58,0.002213130796
59,0.002277473787
60,0.00233913582
61,0.002402138332
62,0.002487928987
63,0.002587124431
64,0.002707767539
65,0.002829751127
66,0.002979884772
67,0.003142082729
68,0.003323047391
69,0.003524119238
70,0.003729212522
71,0.003910177185
72,0.004120632384
73,0.004300256568
74,0.004493285541
75,0.004658164455
76,0.004804276664
77,0.004963793663
78,0.005115267787
79,0.005246634728
80,0.005372639752
81,0.005494623339
82,0.005639395069
83,0.005805614462
84,0.006002664872
85,0.006262717794
86,0.006483896826
87,0.006738587832
88,0.006966469259
89,0.007199712601
90,0.00743831786
91,0.007678263597
92,0.007922230771
93,0.008150112198
94,0.008373972188
95,0.008596491698
96,0.008829735041
97,0.009073702215
98,0.009278795499
99,0.009497293573
100,0.009702386857
101,0.00993428972
102,0.01017959737
103,0.01044233125
104,0.01073187471
105,0.01101069434
106,0.0112747687
107,0.01154554545
108,0.01186055801
109,0.01218763489
110,0.01245975212
111,0.01280023378
112,0.01307369149
113,0.01332033962
114,0.01360318069
115,0.01386725505
116,0.01412462701
117,0.01439138233
118,0.01466618052
119,0.01492489296
120,0.01520639355
121,0.01546108455
122,0.01577743759
123,0.01607502393
124,0.01637931266
125,0.01673319911
126,0.01707502125
127,0.01749593165
128,0.01789539438
129,0.01826938802
130,0.01859110297
131,0.01892622272
132,0.01929485444
133,0.01961120748
134,0.01996107249
135,0.02027742553
136,0.02058707617
137,0.02089404586
138,0.02123988944
139,0.0215294329
140,0.02191415036
141,0.02226669634
142,0.02261119943
143,0.02303881223
144,0.02345838215
145,0.02387393063
146,0.02430154343
147,0.0247881373
148,0.02521709057
149,0.02570368444
150,0.0261460425
151,0.02657097434
152,0.02699858714
153,0.02740207131
154,0.02777338399
155,0.02815810145
156,0.02851600934
157,0.0289650698
158,0.02937525637
159,0.02981225251
160,0.03025461058
161,0.03071305439
162,0.03113396479
163,0.03163530393
164,0.03218892175
165,0.03275728483
166,0.0332760502
167,0.03387256334
168,0.03445969314
169,0.03503207766
170,0.0356165265
171,0.03613797282
172,0.03666344058
173,0.03715405589
174,0.03765137359
175,0.03811115788
176,0.03858434696
177,0.03906557891
178,0.03955351326
179,0.04000525468
180,0.04048916759
181,0.04107093547
182,0.04166074622
183,0.04228809038
184,0.04289800832
185,0.04351462865
186,0.04419693245
187,0.04488325769
188,0.04552802807
189,0.04618486278
190,0.04682829269
191,0.04748244643
192,0.04809102388
193,0.04866742985
194,0.04926126203
195,0.04986179662
196,0.05043552162
197,0.05104678004
198,0.05168216707
199,0.05224516824
200,0.0528215742
201,0.05347036603
202,0.05414328648
203,0.05491674285
204,0.05561379192
205,0.05634301249
206,0.05709234024
207,0.05780413457
208,0.05858965526
209,0.05932423774
210,0.06005747974
211,0.06079876461
212,0.0615333471
213,0.06224380095
214,0.06290331661
215,0.06360438712
216,0.06425988134
217,0.06492609939
218,0.06557757218
219,0.0662330664
220,0.06696898936
221,0.06771697663
222,0.06850919971
223,0.06931884901
224,0.07013520071
225,0.07099712869
226,0.07187380195
227,0.07276253951
228,0.07367406522
229,0.07452258841
230,0.07527057568
231,0.0760668202
232,0.07691802435
233,0.07771694982
234,0.07841533937
235,0.0792169458
236,0.07998504025
237,0.08074643232
238,0.08154267683
239,0.08237779523
240,0.0831834231
241,0.08407216066
242,0.08496626014
243,0.08590191447
244,0.08680137587
245,0.08773300876
246,0.0887571347
247,0.08966866041
248,0.09064989102
249,0.09159895014
250,0.09249170914
251,0.09339251101
252,0.09428527001
253,0.09510430267
254,0.09590724958
255,0.09677185852
256,0.09766193656
257,0.09851314072
258,0.09948498798
259,0.1003991946
260,0.1012946346
261,0.1022182246
262,0.1031713052
263,0.1041967716
264,0.1051471712
265,0.1061927448
266,0.1072530637
267,0.10825038
268,0.1092436749
269,0.1102517151
270,0.1112047957
271,0.112235624
272,0.1131672569
273,0.1140653778
274,0.1149943298
275,0.1158321291
276,0.1166833333
277,0.1175412398
278,0.1184862775
279,0.1193843984
280,0.1203321171
281,0.1213535621
282,0.1223991357
283,0.1235077118
284,0.1245640092
285,0.125596178
286,0.1267329042
287,0.1277530087
288,0.1288495205
289,0.1298857108
290,0.1309084962
291,0.131881684
292,0.1328320836
293,0.1337690784
294,0.1347610328
295,0.1356980276
296,0.1366269796
297,0.1375344838
298,0.138509012
299,0.139502307
300,0.1405438591
301,0.141635009
302,0.1426658374
303,0.1437569872
304,0.1447891561
305,0.1459848633
306,0.14715108
307,0.1482744014
308,0.1493079107
309,0.1503628677
310,0.1514178246
311,0.152350798
312,0.1533038785
313,0.1542918116
314,0.1552703612
315,0.1562475704
316,0.1572274605
317,0.1582355007
318,0.1592368385
319,0.1602703478
320,0.1613373691
321,0.1623990284
322,0.1635196688
323,0.1647180571
324,0.1658360165
325,0.1668936544
326,0.1680491473
327,0.1692260879
328,0.1703668355
329,0.1714888164
330,0.1726309045
331,0.1737099901
332,0.1747729899
333,0.1757917539
334,0.1767877298
335,0.1778654749
336,0.1788721746
337,0.1799217696
338,0.1809767266
339,0.1820705575
340,0.1832394551
341,0.1843909266
342,0.1855276527
343,0.1866603575
344,0.1878413195
345,0.1890531125
346,0.1902662459
347,0.1914378246
348,0.1926697247
349,0.1938372819
350,0.1949043032
351,0.1960303055
352,0.1970638148
353,0.1981348575
354,0.1991187691
355,0.2001361927
356,0.2011294876
357,0.2021924874
358,0.2033091064
359,0.2044404707
360,0.2055343015
361,0.2066200895
362,0.2077460918
363,0.2089766515
364,0.2101549326
365,0.2113627041
366,0.212549028
367,0.2137139043
368,0.2148828019
369,0.2159739518
370,0.2171642971
371,0.2182943209
372,0.2194578567
373,0.2205691138
374,0.2216066445
375,0.2227058372
376,0.2237004727
377,0.2247808987
378,0.2258573033
379,0.226864003
380,0.2279511315
381,0.2291173482
382,0.2303278007
383,0.2315409342
384,0.2327379819
385,0.233944413
386,0.235058351
387,0.2362312702
388,0.2373599535
389,0.2384966796
390,0.2396267034
391,0.2407245557
392,0.2418438556
393,0.2429296436
394,0.2440060482
395,0.2450181099
396,0.2461280265
397,0.2472231978
398,0.2483746692
399,0.2494510739
400,0.250492626
401,0.2516293522
402,0.2527218426
403,0.2539818928
404,0.2551333643
405,0.2563062834
406,0.2574698191
407,0.2585408618
408,0.2596199474
409,0.2607714188
410,0.2619027831
411,0.2629979544
412,0.2641051901
413,0.2651239541
414,0.2661360157
415,0.267141375
416,0.2682043748
417,0.2692606722
418,0.2703303744
419,0.2714349291
420,0.2725716553
421,0.2736869338
422,0.2748075742
423,0.2759657481
424,0.2771306243
425,0.2782485838
426,0.2793719052
427,0.2805072909
428,0.2815997812
429,0.2826815478
430,0.2838638502
431,0.2850126407
432,0.2860850239
433,0.2871104903
434,0.2881051257
435,0.2891171874
436,0.2901158442
437,0.2912512299
438,0.2923611465
439,0.2935260227
440,0.294626556
441,0.2956962582
442,0.2968517511
443,0.2979348581
444,0.2990689033
445,0.3001882032
446,0.3013865915
447,0.3025595106
448,0.3036479795
449,0.3047471723
450,0.3057967673
451,0.3068477028
452,0.3079388527
453,0.3089790644
454,0.3100179356
455,0.3110755735
456,0.3121358924
457,0.3131828065
458,0.3142203372
459,0.3153034442
460,0.3164133608
461,0.3175152345
462,0.318602363
463,0.3197243439
464,0.3207913652
465,0.3218691103
466,0.3230098579
467,0.3241036887
468,0.325173391
469,0.3262296884
470,0.3272551548
471,0.3283355809
472,0.3294012617
473,0.3303811518
474,0.3314428111
475,0.3324294037
476,0.3334588915
477,0.3344722936
478,0.3354776529
479,0.3365460146
480,0.3375795239
481,0.3386881
482,0.3397752285
483,0.3409293809
484,0.3419789759
485,0.3430325924
486,0.3440929113
487,0.3451465278
488,0.3462457205
489,0.3472725274
490,0.34828727
491,0.3492550958
492,0.3502886051
493,0.3513314978
494,0.3523542832
495,0.3533288115
496,0.3543207659
497,0.3552966346
498,0.3562872486
499,0.3572885864
500,0.3583395219
501,0.3593824145
502,0.3604467548
503,0.3614092187
504,0.3623904494
505,0.3634266396
506,0.3644762346
507,0.3655244892
508,0.3665512961
509,0.3675258243
510,0.3684789049
511,0.3694091973
512,0.3703636183
513,0.3712818464
514,0.3721893507
515,0.3731464527
516,0.3740981928
517,0.3750807639
518,0.3760888041
519,0.3770137345
520,0.3780485843
521,0.3790459007
522,0.3800606433
523,0.3811088978
524,0.3820968308
525,0.3831062115
526,0.384061973
527,0.3850029893
528,0.3859882413
529,0.38693596
530,0.387918531
531,0.3888394401
532,0.3897764349
533,0.3906624915
534,0.3915954649
535,0.3924935858
536,0.3933863448
537,0.3943421063
538,0.3952804416
539,0.3962563103
540,0.3972536267
541,0.3982053667
542,0.3991691711
543,0.4001477208
544,0.401119568
545,0.4020726486
546,0.4029922172
547,0.4039493192
548,0.4048514615
549,0.4058058826
550,0.4066986416
551,0.4076048053
552,0.4085404597
553,0.4094921998
554,0.4103889802
555,0.4112803987
556,0.4121677958
557,0.413111493
558,0.4140752974
559,0.4149653754
560,0.4158916464
561,0.4169090699
562,0.4178272981
563,0.4187294404
564,0.4196878829
565,0.4206463253
566,0.4215766178
567,0.4224733982
568,0.4233715191
569,0.4242455114
570,0.4250900132
571,0.4260082413
572,0.426883574
573,0.4277682902
574,0.4286302181
575,0.4295296795
576,0.4304747172
577,0.4313299428
578,0.4322682781
579,0.4331744419
580,0.4340980319
581,0.4349840885
582,0.4359478929
583,0.4368393114
584,0.437728049
585,0.438618127
586,0.4395645052
587,0.4404693285
588,0.4414183876
589,0.4423124871
590,0.4431998842
591,0.4440953241
592,0.4450336594
593,0.4458969279
594,0.4467105986
595,0.4476006767
596,0.4484585832
597,0.4493285541
598,0.4502146107
599,0.4511033482
600,0.4520416835
601,0.4528808234
602,0.4538070944
603,0.4547601749
604,0.4556395291
605,0.4565443524
606,0.4574451543
607,0.458264187
608,0.4591167316
609,0.4599773191
610,0.4608808019
611,0.4617239632
612,0.4625604221
613,0.463396881
614,0.4642601494
615,0.4650791821
616,0.4659062576
617,0.4667923142
618,0.4676100064
619,0.468398208
620,0.4692748813
621,0.470152895
622,0.4709759491
623,0.4718405581
624,0.4726555693
625,0.4734759424
626,0.4743593181
627,0.4751796912
628,0.476024193
629,0.4769437615
630,0.4777989871
631,0.4785778054
632,0.4793753904
633,0.4801917421
634,0.4810295415
635,0.4818606384
636,0.4827037997
637,0.4834678727
638,0.4842560744
639,0.4851461524
640,0.4860214852
641,0.4869303299
642,0.487758746
643,0.4885482881
644,0.4893565969
645,0.4901595438
646,0.4909812574
647,0.4918217377
648,0.4926447918
649,0.4934396959
650,0.4942345999
