,country,media_source,ua_period,365day_ltv,safe_line,organic_buffer
0,Brazil,Organic,122,0.18381797727247629,0.14705438181798103,
1,Brazil,Facebook Ads,138,0.18371691562401055,0.14697353249920844,110.49704695393112
2,Brazil,ironsource_int,107,0.1751114421567393,0.14008915372539144,
3,Brazil,unityads_int,96,0.17604292413341371,0.14083433930673098,
4,Brazil,googleadwords_int,152,0.14891934034191803,0.11913547227353444,441.9881878157245
5,France,Organic,142,0.5061597749621639,0.40492781996973115,
6,France,Facebook Ads,132,0.5458947565834364,0.4367158052667492,57.96025658390269
7,France,ironsource_int,104,0.46551049679393763,0.37240839743515014,
8,France,unityads_int,109,0.5048008144671905,0.40384065157375243,
9,France,googleadwords_int,152,0.4453112525664889,0.35624900205319115,231.84102633561076
10,Spain,Organic,129,0.2879593730488885,0.23036749843911083,
11,Spain,Facebook Ads,120,0.2941327157364108,0.23530617258912867,21.581971562918476
12,Spain,ironsource_int,129,0.24678146526669667,0.19742517221335734,
13,Spain,unityads_int,112,0.2891872910698172,0.23134983285585378,
14,Spain,googleadwords_int,121,0.2540763086008512,0.20326104688068095,86.3278862516739
15,United States,Organic,136,1.9621738063180219,1.5697390450544175,
16,United States,Facebook Ads,117,1.5127670144091372,1.2102136115273099,522.6984786455516
17,United States,ironsource_int,121,1.658832386226123,1.3270659089808985,
18,United States,unityads_int,99,1.989591416298008,1.5916731330384064,
19,United States,googleadwords_int,142,1.5059004568463163,1.204720365477053,2090.7939145822065
20,Russia,Organic,111,0.1490176599649469,0.11921412797195752,
21,Russia,Facebook Ads,119,0.1748384519158019,0.13987076153264152,54.605680687766984
22,Russia,ironsource_int,116,0.1455615463832095,0.11644923710656761,
23,Russia,unityads_int,98,0.1708347379157647,0.13666779033261175,
24,Russia,googleadwords_int,148,0.1373203372145161,0.10985626977161289,218.42272275106794
25,Germany,Organic,126,0.6245422965536731,0.4996338372429385,
26,Germany,Facebook Ads,134,0.7659142672706668,0.6127314138165335,121.11842642508657
27,Germany,ironsource_int,93,0.7016465627598029,0.5613172502078423,
28,Germany,unityads_int,96,0.7403656136586888,0.592292490926951,
29,Germany,googleadwords_int,110,0.70622708338896,0.564981666711168,484.4737057003463
30,Japan,Organic,106,1.1869480059573687,0.949558404765895,
31,Japan,Facebook Ads,131,1.062488935387614,0.8499911483100911,74.74203835683447
32,Japan,ironsource_int,108,0.9042744662768435,0.7234195730214749,
33,Japan,unityads_int,101,1.1055934010896156,0.8844747208716925,
34,Japan,googleadwords_int,109,1.0436226138970202,0.8348980911176161,298.9681534273379
35,Mexico,Organic,149,0.11421429923323216,0.09137143938658573,
36,Mexico,Facebook Ads,93,0.09616255956294358,0.07693004765035487,16.245841922934943
37,Mexico,ironsource_int,107,0.13311305230403106,0.10649044184322486,
38,Mexico,unityads_int,118,0.10791370746055598,0.08633096596844479,
39,Mexico,googleadwords_int,141,0.10435289466207985,0.08348231572966389,64.98336769173977
40,United Kingdom,Organic,128,0.7493233662383941,0.5994586929907153,
41,United Kingdom,Facebook Ads,128,0.7718895063699593,0.6175116050959675,46.32601107309556
42,United Kingdom,ironsource_int,111,0.7898268205364547,0.6318614564291638,
43,United Kingdom,unityads_int,102,0.8182421114556697,0.6545936891645359,
44,United Kingdom,googleadwords_int,118,0.720498609281206,0.5763988874249648,185.30404429238223
